ProdBarcode,Production,Has Inspection,In Kwesna,Qty Calc,Qty Started,Ended QTY,Item number,Name,Mark To Print,Project,Color,Site,Warehouse,Batch number,Status,Remain status,Batch Number 2,Pool,Quality order status,Finished,FinishedRouteDate,Transfer To Qwesna Date,RGBColor,RealWhieght,ProductionPCT,ProductionPCTRoute,Route Start,Prodoction QTY Status,Weight Packing,Created date and time,Estimated,Scheduled,Started,Reported as finished,Ended,Reference type,Reference number,Reference lot
00262493,00262493_100,No,Yes,567.00,567.00,579.00,60116,‰Ã„… 2/40 - 5000 „ —,No,,1,Obour,10,1,Ended,Ended,,„‰ Ã  «„,Closed quality order,Yes,1/10/2025 11:08,9/20/2025,0.00,84.00,6.90,6.90,9/30/2025,None,83.92,9/19/2025 12:56,1/10/2025,1/10/2025,1/10/2025,10/2/2025,10/2/2025,,,
00263148,00263148_100,No,No,282.00,403.52,403.52,52151,  «· ‘€Ì· 150/ 1  „’»Ê€ „»—ÊÊ„,Yes,,12089,Obour,45,,Ended,Ended,,„’»Ê€,,No,,,"3,877,401.00",0.00,100.00,0.00,10/3/2025,None,403.52,9/20/2025 13:19,9/20/2025,9/20/2025,1/10/2025,10/3/2025,10/3/2025,,,
00263495,00263495_100,No,Yes,"1,024.00","1,024.00","1,053.00",60116,‰Ã„… 2/40 - 5000 „ —,No,,2,Obour,10,1,Ended,Ended,,„‰ Ã  «„,Closed quality order,Yes,10/4/2025 4:00,10/2/2025,"1,841,942.00",212.96,7.29,7.29,9/29/2025,None,144.38,9/21/2025 9:19,9/21/2025,9/21/2025,1/10/2025,10/4/2025,10/4/2025,,,
00263496,00263496_100,No,Yes,"1,017.00","1,017.00","1,020.00",60116,‰Ã„… 2/40 - 5000 „ —,No,,2,Obour,10,1,Ended,Ended,,„‰ Ã  «„,Closed quality order,Yes,10/3/2025 12:49,10/2/2025,"1,841,942.00",212.96,7.11,7.11,1/10/2025,None,143.40,9/21/2025 9:19,9/21/2025,9/21/2025,1/10/2025,10/4/2025,10/4/2025,,,
00264661,00264661_100,No,No,477.00,459.00,454.50,60628,⁄„»— 1/150 - 2/1 ﬂÃ„,No,,1482,Obour,10,1,Ended,Ended,,„‰ Ã  «„,,No,,,"12,164,310.00",0.00,0.98,0.98,10/9/2025,None,463.12,9/24/2025 9:01,9/24/2025,9/24/2025,1/10/2025,10/13/2025,10/13/2025,,,
00265368,00265368_100,No,No,113.00,109.00,108.50,60628,⁄„»— 1/150 - 2/1 ﬂÃ„,No,,1414,Obour,10,1,Ended,Ended,,„‰ Ã  «„,,No,,,"12,158,993.00",0.00,0.98,0.98,10/4/2025,None,110.30,9/25/2025 8:57,9/25/2025,9/25/2025,1/10/2025,10/10/2025,10/10/2025,,,
00265799,00265799_100,No,No,30.70,109.82,107.53,52040, Õ  «· ‘€Ì· - „’»Ê€ »Ê·Ì” —  ÿ—Ì“ 120/ 2,Yes,,P0485,Obour,45,,Ended,Ended,,„’»Ê€,,No,,,"8,616,049.00",0.00,97.91,100.00,9/29/2025,None,109.82,9/25/2025 15:59,9/25/2025,9/25/2025,1/10/2025,10/4/2025,10/4/2025,,,
00266023,00266023_100,No,Yes,"1,023.00","1,023.00","1,023.00",60116,‰Ã„… 2/40 - 5000 „ —,No,,2,Obour,10,1,Ended,Ended,,„‰ Ã  «„,Closed quality order,Yes,10/4/2025 7:27,10/2/2025,"1,841,942.00",144.26,7.09,7.09,10/3/2025,None,144.24,9/25/2025 19:28,9/25/2025,9/25/2025,1/10/2025,10/5/2025,10/5/2025,,,
00266024,00266024_100,No,Yes,"1,017.00","1,017.00","1,035.00",60116,‰Ã„… 2/40 - 5000 „ —,No,,2,Obour,10,1,Ended,Ended,,„‰ Ã  «„,Closed quality order,Yes,10/3/2025 20:45,10/2/2025,"1,841,942.00",143.50,7.22,7.22,1/10/2025,None,143.40,9/25/2025 19:28,1/10/2025,1/10/2025,1/10/2025,10/5/2025,10/5/2025,,,
00266328,00266328_100,No,No,11.05,12.96,12.96,52145, Õ  «· ‘€Ì· - „’»Ê€ 45/2,Yes,,15389,Obour,45,,Ended,Ended,,„’»Ê€,,No,,,"5,528,169.00",0.00,100.00,100.00,9/29/2025,None,12.96,9/26/2025 14:06,9/26/2025,9/26/2025,1/10/2025,10/4/2025,10/4/2025,,,
