ProdBarcode|Production|Has Inspection|In Kwesna|Qty Calc|Qty Started|Ended QTY|Item number|Name|Mark To Print|Project|Color|Site|Warehouse|Batch number|Status|Remain status|Batch Number 2|Pool|Quality order status|Finished|FinishedRouteDate|Transfer To Qwesna Date|RGBColor|RealWhieght|ProductionPCT|ProductionPCTRoute|Route Start|Prodoction QTY Status|Weight Packing|Created date and time|Estimated|Scheduled|Started|Reported as finished|Ended|Reference type|Reference number|Reference lot
00262493|00262493_100|No|Yes|567.00|567.00|579.00|60116|نجمة 2/40 - 5000 متر|No||1|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|1/10/2025 11:08|9/20/2025|0.00|84.00|6.90|6.90|9/30/2025|None|83.92|9/19/2025 12:56|1/10/2025|1/10/2025|1/10/2025|10/2/2025|10/2/2025|||
00263148|00263148_100|No|No|282.00|403.52|403.52|52151|ت التشغيل 150/ 1  مصبوغ مبرووم|Yes||12089|Obour|45||Ended|Ended||مصبوغ||No|||3877401.00|0.00|100.00|0.00|10/3/2025|None|403.52|9/20/2025 13:19|9/20/2025|9/20/2025|1/10/2025|10/3/2025|10/3/2025|||
00263495|00263495_100|No|Yes|1024.00|1024.00|1053.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 4:00|10/2/2025|1841942.00|212.96|7.29|7.29|9/29/2025|None|144.38|9/21/2025 9:19|9/21/2025|9/21/2025|1/10/2025|10/4/2025|10/4/2025|||
00263496|00263496_100|No|Yes|1017.00|1017.00|1020.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 12:49|10/2/2025|1841942.00|212.96|7.11|7.11|1/10/2025|None|143.40|9/21/2025 9:19|9/21/2025|9/21/2025|1/10/2025|10/4/2025|10/4/2025|||
00264661|00264661_100|No|No|477.00|459.00|454.50|60628|عمبر 1/150 - 2/1 كجم|No||1482|Obour|10|1|Ended|Ended||منتج تام||No|||12164310.00|0.00|0.98|0.98|10/9/2025|None|463.12|9/24/2025 9:01|9/24/2025|9/24/2025|1/10/2025|10/13/2025|10/13/2025|||
00265368|00265368_100|No|No|113.00|109.00|108.50|60628|عمبر 1/150 - 2/1 كجم|No||1414|Obour|10|1|Ended|Ended||منتج تام||No|||12158993.00|0.00|0.98|0.98|10/4/2025|None|110.30|9/25/2025 8:57|9/25/2025|9/25/2025|1/10/2025|10/10/2025|10/10/2025|||
00265799|00265799_100|No|No|30.70|109.82|107.53|52040|تحت التشغيل - مصبوغ بوليستر تطريز 120/ 2|Yes||P0485|Obour|45||Ended|Ended||مصبوغ||No|||8616049.00|0.00|97.91|100.00|9/29/2025|None|109.82|9/25/2025 15:59|9/25/2025|9/25/2025|1/10/2025|10/4/2025|10/4/2025|||
00266023|00266023_100|No|Yes|1023.00|1023.00|1023.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 7:27|10/2/2025|1841942.00|144.26|7.09|7.09|10/3/2025|None|144.24|9/25/2025 19:28|9/25/2025|9/25/2025|1/10/2025|10/5/2025|10/5/2025|||
00266024|00266024_100|No|Yes|1017.00|1017.00|1035.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 20:45|10/2/2025|1841942.00|143.50|7.22|7.22|1/10/2025|None|143.40|9/25/2025 19:28|1/10/2025|1/10/2025|1/10/2025|10/5/2025|10/5/2025|||
00266328|00266328_100|No|No|11.05|12.96|12.96|52145|تحت التشغيل - مصبوغ 45/2|Yes||15389|Obour|45||Ended|Ended||مصبوغ||No|||5528169.00|0.00|100.00|100.00|9/29/2025|None|12.96|9/26/2025 14:06|9/26/2025|9/26/2025|1/10/2025|10/4/2025|10/4/2025|||
00266642|00266642_100|No|No|621.00|621.00|634.00|60805|بولستر تطريز 2/120 5000 ياردة-N|No||15381|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No|||2565925.00|79.50|8.14|8.15|10/3/2025|None|77.91|9/26/2025 19:12|9/26/2025|9/26/2025|1/10/2025|10/5/2025|10/5/2025|||
00267219|00267219_100|No|No|30.00|79.64|78.12|52040|تحت التشغيل - مصبوغ بوليستر تطريز 120/ 2|Yes||P0358|Obour|45||Ended|Ended||مصبوغ||No|||3220762.00|0.00|98.09|100.00|1/10/2025|None|79.64|9/27/2025 16:28|9/27/2025|9/27/2025|1/10/2025|10/10/2025|10/10/2025|||
00267228|00267228_100|No|No|243.00|399.02|401.88|52145|تحت التشغيل - مصبوغ 45/2|Yes||502|Obour|45||Ended|Ended||مصبوغ||No|||3416877.00|0.00|100.72|0.00|10/3/2025|None|399.02|9/27/2025 17:21|9/27/2025|9/27/2025|1/10/2025|10/3/2025|10/3/2025|Production line|00268244_100|15003106_085
00267550|00267550_100|No|No|139.00|131.00|131.00|60628|عمبر 1/150 - 2/1 كجم|No||15740|Obour|10|1|Ended|Ended||منتج تام||No|||1447442.00|0.00|0.98|0.98|10/3/2025|None|133.12|9/28/2025 8:47|9/28/2025|9/28/2025|1/10/2025|10/9/2025|10/9/2025|||
00267551|00267551_100|No|No|37.00|36.00|36.00|60628|عمبر 1/150 - 2/1 كجم|No||16916|Obour|10|1|Ended|Ended||منتج تام||No|||4019815.00|0.00|0.98|0.98|10/2/2025|None|36.82|9/28/2025 8:48|9/28/2025|9/28/2025|1/10/2025|10/4/2025|10/4/2025|||
00267552|00267552_100|No|No|38.00|36.00|35.50|60628|عمبر 1/150 - 2/1 كجم|No||16917|Obour|10|1|Ended|Ended||منتج تام||No|||3487286.00|0.00|0.96|1.15|10/2/2025|None|37.01|9/28/2025 8:49|9/28/2025|9/28/2025|1/10/2025|10/10/2025|10/10/2025|||
00267553|00267553_100|No|No|426.00|408.00|391.00|60628|عمبر 1/150 - 2/1 كجم|No||1465|Obour|10|1|Ended|Ended||منتج تام||No|||6790591.00|0.00|0.95|0.95|1/10/2025|None|412.30|9/28/2025 8:49|9/28/2025|9/28/2025|1/10/2025|10/18/2025|10/18/2025|||
00267594|00267594_100|No|No|5.04|7.56|7.52|52003|تحت التشغيل - مصبوغ 3/40|Yes||122|Obour|45||Ended|Ended||مصبوغ||No|||8288367.00|0.00|99.47|100.00|9/29/2025|None|7.56|9/28/2025 10:01|9/28/2025|9/28/2025|1/10/2025|10/4/2025|10/4/2025|||
00268134|00268134_100|No|No|427.00|406.00|400.00|60628|عمبر 1/150 - 2/1 كجم|No||1461|Obour|10|1|Ended|Ended||منتج تام||No|||5923952.00|0.00|0.98|0.98|10/2/2025|None|410.20|9/29/2025 8:55|9/29/2025|9/29/2025|1/10/2025|10/10/2025|10/10/2025|||
00268135|00268135_100|No|No|133.00|128.00|126.00|60628|عمبر 1/150 - 2/1 كجم|No||1417|Obour|10|1|Ended|Ended||منتج تام||No|||2123738.00|0.00|0.97|0.97|10/5/2025|None|129.46|9/29/2025 8:55|9/29/2025|9/29/2025|1/10/2025|10/11/2025|10/11/2025|||
00268136|00268136_100|No|No|109.00|105.00|103.00|60628|عمبر 1/150 - 2/1 كجم|No||1293|Obour|10|1|Ended|Ended||منتج تام||No|||5742916.00|0.00|0.97|0.97|10/5/2025|None|106.20|9/29/2025 8:56|9/29/2025|9/29/2025|1/10/2025|10/10/2025|10/10/2025|||
00268137|00268137_100|No|No|133.00|128.00|126.50|60628|عمبر 1/150 - 2/1 كجم|No||1513|Obour|10|1|Ended|Ended||منتج تام||No|||2832152.00|0.00|0.98|0.98|10/3/2025|None|128.96|9/29/2025 8:57|9/29/2025|9/29/2025|1/10/2025|10/10/2025|10/10/2025|||
00268139|00268139_100|No|No|133.00|127.00|129.50|60628|عمبر 1/150 - 2/1 كجم|No||15740|Obour|10|1|Ended|Ended||منتج تام||No|||1447442.00|0.00|1.01|1.01|10/3/2025|None|128.30|9/29/2025 9:00|9/29/2025|9/29/2025|1/10/2025|10/9/2025|10/9/2025|||
00268181|00268181_100|No|Yes|270.00|270.00|270.00|60116|نجمة 2/40 - 5000 متر|No||2|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|No||1/10/2025|1841942.00|71.02|3.81|3.81|9/29/2025|None|70.92|9/29/2025 9:11|1/10/2025|1/10/2025|1/10/2025|9/29/2025|9/30/2025|||
00268304|00268304_100|No|No|395.91|306.42|305.53|52040|تحت التشغيل - مصبوغ بوليستر تطريز 120/ 2|Yes||P0500|Obour|45||Ended|Ended||مصبوغ||No|||16769498.00|0.00|99.71|99.90|1/10/2025|None|306.42|9/29/2025 11:15|1/10/2025|1/10/2025|1/10/2025|10/3/2025|10/3/2025|||
00268334|00268334_100|No|No|18.40|21.83|21.83|52010|تحت التشغيل - مصبوغ 2/150|Yes||16913|Obour|45||Ended|Ended||مصبوغ||No|||6122852.00|0.00|100.00|100.00|1/10/2025|None|21.83|9/29/2025 12:12|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|Production line|00269806_100|15080482_085
00268336|00268336_100|No|No|18.40|21.86|21.86|52010|تحت التشغيل - مصبوغ 2/150|Yes||16915|Obour|45||Ended|Ended||مصبوغ||No|||8426914.00|0.00|100.00|100.00|9/29/2025|None|21.86|9/29/2025 12:13|9/29/2025|9/29/2025|1/10/2025|10/10/2025|10/10/2025|Production line|00270296_100|15104343_085
00268337|00268337_100|No|No|19.30|21.83|21.83|52010|تحت التشغيل - مصبوغ 2/150|Yes||16282|Obour|45||Ended|Ended||مصبوغ||No|||3491655.00|0.00|100.00|100.00|1/10/2025|None|21.83|9/29/2025 12:13|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268339|00268339_100|No|No|16.80|16.25|16.25|52145|تحت التشغيل - مصبوغ 45/2|Yes||12778|Obour|45||Ended|Ended||مصبوغ||No|||11516523.00|0.00|100.00|100.00|9/29/2025|None|16.25|9/29/2025 12:20|9/29/2025|9/29/2025|1/10/2025|10/4/2025|10/4/2025|||
00268387|00268387_100|No|Yes|819.00|819.00|828.00|60116|نجمة 2/40 - 5000 متر|No||547|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/4/2025 2:02|10/2/2025|6828328.00|114.68|7.20|7.20|10/2/2025|None|114.94|9/29/2025 13:55|9/29/2025|9/29/2025|1/10/2025|10/9/2025|10/9/2025|||
00268402|00268402_100|No|Yes|425.00|425.00|481.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 6:19|10/2/2025|1853354.00|125.64|8.13|8.13|10/2/2025|None|59.16|9/29/2025 14:02|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268403|00268403_100|No|Yes|439.00|439.00|451.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 4:51|10/2/2025|1853354.00|127.64|7.34|7.34|10/2/2025|None|61.46|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/4/2025|10/4/2025|||
00268404|00268404_100|No|Yes|436.00|436.00|441.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 4:44|10/2/2025|1853354.00|127.16|7.22|7.22|10/2/2025|None|61.04|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268406|00268406_100|No|Yes|434.00|434.00|424.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 4:37|10/2/2025|1853354.00|126.88|6.98|7.34|10/2/2025|None|60.76|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/11/2025|10/11/2025|||
00268407|00268407_100|No|Yes|434.00|434.00|454.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 7:51|10/2/2025|1853354.00|127.32|7.47|7.47|10/2/2025|None|60.76|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268408|00268408_100|No|Yes|455.00|455.00|459.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 4:22|10/2/2025|1853354.00|128.92|7.21|7.21|1/10/2025|None|63.70|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268409|00268409_100|No|Yes|448.00|448.00|451.00|60116|نجمة 2/40 - 5000 متر|No||419|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/3/2025 7:21|10/2/2025|1853354.00|128.32|7.19|7.21|10/2/2025|None|62.72|9/29/2025 14:03|9/29/2025|9/29/2025|1/10/2025|10/4/2025|10/4/2025|||
00268414|00268414_100|No|Yes|134.00|134.00|137.00|60925|جينز 20/3 - 2000 ياردة|No||108|Obour|10|1|Ended|Ended||منتج تام|Closed quality order|Yes|10/2/2025 5:46|10/2/2025|10459797.00|22.20|6.20|6.20|1/10/2025|None|22.11|9/29/2025 14:07|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268416|00268416_100|No|No|100.00|116.46|116.46|52002|تحت التشغبل مصبوغ 20/3|Yes||520|Obour|45||Ended|Ended||مصبوغ||No|||2253710.00|0.00|100.00|100.00|1/10/2025|None|116.46|9/29/2025 14:13|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|Production line|00269537_100|15068992_085
00268418|00268418_100|No|No|100.00|116.39|116.39|52002|تحت التشغبل مصبوغ 20/3|Yes||464|Obour|45||Ended|Ended||مصبوغ||No|||3885651.00|0.00|100.00|100.00|9/29/2025|None|116.39|9/29/2025 14:24|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|Production line|00269538_100|15069054_085
00268419|00268419_100|No|No|140.00|128.46|128.46|52002|تحت التشغبل مصبوغ 20/3|Yes||169|Obour|45||Ended|Ended||مصبوغ||No|||2433363.00|0.00|100.00|0.00|10/3/2025|None|128.46|9/29/2025 14:24|9/29/2025|9/29/2025|1/10/2025|10/3/2025|10/3/2025|||
00268421|00268421_100|No|No|16.00|18.30|18.30|52002|تحت التشغبل مصبوغ 20/3|Yes||420|Obour|45||Ended|Ended||مصبوغ||No|||3161147.00|0.00|100.00|100.00|1/10/2025|None|18.30|9/29/2025 14:32|9/29/2025|9/29/2025|1/10/2025|10/2/2025|10/2/2025|||
00268423|00268423_100|No|No|16.50|18.20|18.56|52002|تحت التشغبل مصبوغ 20/3|Yes||16851|Obour|45||Ended|Ended||مصبوغ||No|||7964815.00|0.00|101.98|100.00|9/29/2025|None|18.20|9/29/2025 14:33|9/29/2025|9/29/2025|1/10/2025|10/10/2025|10/10/2025|Production line|00270065_100|15091942_085
00268435|00268435_100|No|No|1000.00|1436.40|1447.03|52145|تحت التشغيل - مصبوغ 45/2|Yes||5780|Obour|45||Ended|Ended||مصبوغ||No|||1841942.00|0.00|100.74|100.00|9/29/2025|None|1436.40|9/29/2025 15:06|9/29/2025|9/29/2025|1/10/2025|10/2/2025|10/2/2025|||
