Invoice account,Purchase order,Date,Invoice,Voucher,Currency,Tax,Invoice amount,Invoice amount in default currency,Company,Sales order,Voucher2,Posted via intercompany,Invoice declaration ID,Pool,So Release,Total misc. charges,Amount,Balance
1100001,00001440_070,10/1/2025,310473.,110001626_077,EGP,"2,593.50","21,118.50","21,118.50",,,,No,,,,0.00,0.00,"18,525.00"
1100001,00001440_070,10/1/2025,310510,110001583_077,EGP,"1,890.00","15,390.00","15,390.00",,,,No,,,,0.00,0.00,"13,500.00"
1100001,00001440_070,10/1/2025,310689,110001586_077,EGP,"1,916.53","15,606.03","15,606.03",,,,No,,,,0.00,0.00,"13,689.50"
1100001,00001440_070,10/1/2025,310686,110001585_077,EGP,441.88,"3,598.13","3,598.13",,,,No,,,,0.00,0.00,"3,156.25"
1100001,00001440_070,10/1/2025,310473,110001584_077,EGP,"2,593.50","21,118.50","21,118.50",,,,No,,,,0.00,0.00,"18,525.00"
1100001,00001440_070,10/1/2025,-310473,120000018_078,EGP,"-2,593.50","-21,118.50","-21,118.50",,,,No,,,,0.00,0.00,"-18,525.00"
1100001,00001678_070,10/1/2025,312383,110001802_077,EGP,"2,575.44","20,971.44","20,971.44",,,,No,,,,0.00,0.00,"18,396.00"
1100001,00001678_070,10/1/2025,312421,110001803_077,EGP,899.36,"7,323.36","7,323.36",,,,No,,,,0.00,0.00,"6,424.00"
1100001,00001678_070,10/1/2025,312554,110001835_077,EGP,"1,103.76","8,987.76","8,987.76",,,,No,,,,0.00,0.00,"7,884.00"
1100001,00001678_070,10/1/2025,312557,110001836_077,EGP,"2,514.12","20,472.12","20,472.12",,,,No,,,,0.00,0.00,"17,958.00"
1100001,00001678_070,10/1/2025,312790,110001833_077,EGP,"1,839.60","14,979.60","14,979.60",,,,No,,,,0.00,0.00,"13,140.00"
1100001,00001678_070,10/1/2025,312769,110001834_077,EGP,"1,103.76","8,987.76","8,987.76",,,,No,,,,0.00,0.00,"7,884.00"
1100001,00001763_070,10/1/2025,312769.,110001879_077,EGP,"1,103.76","8,987.76","8,987.76",,,,No,,,,0.00,0.00,"7,884.00"
1100001,00001763_070,10/1/2025,312926,110001878_077,EGP,"1,471.68","11,983.68","11,983.68",,,,No,,,,0.00,0.00,"10,512.00"
1100001,00001941_070,10/1/2025,313672,110002076_077,EGP,"1,471.68","11,983.68","11,983.68",,,,No,,,,0.00,0.00,"10,512.00"
1100001,00001941_070,10/1/2025,313728,110002095_077,EGP,"1,471.68","11,983.68","11,983.68",,,,No,,,,0.00,0.00,"10,512.00"
1100002,00001537_070,10/1/2025,129,110001711_077,EGP,"239,473.00","2,081,573.00","2,081,573.00",,,,No,,,,0.00,0.00,"1,842,100.00"
1100002,00001537_070,10/1/2025,131,110001709_077,EGP,"3,307.20","28,747.20","28,747.20",,,,No,,,,0.00,0.00,"25,440.00"
1100002,00001537_070,10/1/2025,146,110001710_077,EGP,"2,851.29","24,784.29","24,784.29",,,,No,,,,0.00,0.00,"21,933.00"
1100002,00001537_070,10/1/2025,01,110001712_077,EGP,0.00,0.00,0.00,,,,No,,,,0.00,0.00,0.00
1100002,00001522_070,10/1/2025,222,110001744_077,EGP,"2,748.85","23,893.85","23,893.85",,,,No,,,,0.00,0.00,"21,145.00"
1100002,00001695_070,10/1/2025,286,110001775_077,EGP,"48,465.30","421,275.30","421,275.30",,,,No,,,,0.00,0.00,"372,810.00"
1100002,00001898_070,10/1/2025,451,110002047_077,EGP,"225,791.28","1,962,647.28","1,962,647.28",,,,No,,,,0.00,0.00,"1,736,856.00"
1100002,00001898_070,10/1/2025,485,110002046_077,EGP,"18,131.81","157,607.31","157,607.31",,,,No,,,,0.00,0.00,"139,475.50"
1100002,00002107_070,10/1/2025,689,110002228_077,EGP,"107,650.40","935,730.40","935,730.40",,,,No,,,,0.00,0.00,"828,080.00"
1100002,00002185_070,10/1/2025,771,110002304_077,EGP,"37,319.59","324,393.34","324,393.34",,,,No,,,,0.00,0.00,"287,073.75"
1100003,00001280_070,10/1/2025,8368.,110001484_077,EGP,0.00,0.00,0.00,,,,No,,,,0.00,0.00,0.00
1100003,00001497_070,10/1/2025,10061,110001589_077,EGP,"11,272.80","91,792.80","91,792.80",,,,No,,,,0.00,0.00,"80,520.00"
1100003,00001774_070,10/1/2025,10137,110001876_077,EGP,"7,242.48","58,974.48","58,974.48",,,,No,,,,0.00,0.00,"51,732.00"
1100003,00001774_070,10/1/2025,10159,110001984_077,EGP,"11,266.08","91,738.08","91,738.08",,,,No,,,,0.00,0.00,"80,472.00"
1100003,00001938_070,10/1/2025,10185,110002045_077,EGP,"13,680.24","111,396.24","111,396.24",,,,No,,,,0.00,0.00,"97,716.00"
1100003,00002306_070,10/1/2025,10290,110002435_077,EGP,"20,118.00","163,818.00","163,818.00",,,,No,,,,0.00,0.00,"143,700.00"
1100005,00001436_070,10/1/2025,2046,110001544_077,EGP,"3,729.44","32,417.44","32,417.44",,,,No,,,,0.00,0.00,"28,688.00"
1100005,00001527_070,10/1/2025,2050,110001661_077,EGP,"4,811.95","41,826.95","41,826.95",,,,No,,,,0.00,0.00,"37,015.00"
1100005,00001914_070,10/1/2025,2073,110002027_077,EGP,"2,644.43","22,986.18","22,986.18",,,,No,,,,0.00,0.00,"20,341.75"
1100005,00002349_070,10/1/2025,2110,110002470_077,EGP,334.27,"2,905.52","2,905.52",,,,No,,,,0.00,0.00,"2,571.25"
1100008,00001533_070,10/1/2025,9596,110001703_077,EGP,0.00,"15,200.00","15,200.00",,,,No,,,,0.00,0.00,"15,200.00"
1100008,00001533_070,10/1/2025,9597,110001746_077,EGP,0.00,"3,800.00","3,800.00",,,,No,,,,0.00,0.00,"3,800.00"
1100009,00001556_070,10/1/2025,35020,110001669_077,EGP,"5,544.39","45,147.14","45,147.14",,,,No,,,,0.00,0.00,"39,602.75"
1100009,00002384_070,10/1/2025,36128,110002496_077,EGP,0.00,"6,125.00","6,125.00",,,,No,,,,0.00,0.00,"6,125.00"
1100010,00002077_070,10/1/2025,6444,110002229_077,EGP,"6,240.00","54,240.00","54,240.00",,,,No,,,,0.00,0.00,"48,000.00"
1100011,00001375_070,10/1/2025,10036,110001534_077,EGP,"12,825.50","111,483.21","111,483.21",,,,No,,,,0.00,0.00,"98,657.71"
1100011,00001696_070,10/1/2025,10803,110001793_077,EGP,"6,078.07","52,832.44","52,832.44",,,,No,,,,0.00,0.00,"46,754.37"
1100012,00001275_070,10/1/2025,7088,110001425_077,EGP,"9,645.67","83,843.17","83,843.17",,,,No,,,,0.00,0.00,"74,197.50"
1100012,00001275_070,10/1/2025,7111,110001426_077,EGP,"3,034.85","26,379.85","26,379.85",,,,No,,,,0.00,0.00,"23,345.00"
1100012,00001275_070,10/1/2025,7221,110001410_077,EGP,"1,436.17","12,483.67","12,483.67",,,,No,,,,0.00,0.00,"11,047.50"
1100012,00001399_070,10/1/2025,7439,110001532_077,EGP,"1,404.00","12,204.00","12,204.00",,,,No,,,,0.00,0.00,"10,800.00"
1100012,00001399_070,10/1/2025,7579,110001533_077,EGP,"2,966.60","25,786.60","25,786.60",,,,No,,,,0.00,0.00,"22,820.00"
1100012,00001399_070,10/1/2025,7632,110001556_077,EGP,"9,895.79","86,017.29","86,017.29",,,,No,,,,0.00,0.00,"76,121.50"
1100012,00001507_070,10/1/2025,7843,110001705_077,EGP,"3,420.14","29,728.94","29,728.94",,,,No,,,,0.00,0.00,"26,308.80"
1100012,00001507_070,10/1/2025,7976,110001701_077,EGP,"3,941.53","34,261.03","34,261.03",,,,No,,,,0.00,0.00,"30,319.50"
1100012,00001675_070,10/1/2025,8231,110001795_077,EGP,"5,522.01","47,999.01","47,999.01",,,,No,,,,0.00,0.00,"42,477.00"
1100012,00001675_070,10/1/2025,8349/8233/,110001828_077,EGP,"13,687.18","118,973.18","118,973.18",,,,No,,,,0.00,0.00,"105,286.00"
1100012,00001675_070,10/1/2025,8362,110001843_077,EGP,0.00,"34,720.00","34,720.00",,,,No,,,,0.00,0.00,"34,720.00"
