Invoice account,Sales order,Pool,Form 13,Customer Account Manager,Tax,Quantity,Site,Warehouse,Date,Invoice,Voucher,Currency,Invoice amount,Invoice amount in default currency,Don't Send,Sales balance,Sales balance in default currency,Number sequence group,Intercompany company,Intercompany purchase order,Posted via intercompany,Line-specific,Dimension account,Payment ID,Bank account,Total misc. charges,Sales tax group,Transport,Insurance,F.O.B,NetWieghtt,GrossWieghtt,DrowBackSamah,TaxDescription,Created date and time
0110033,00196285_055,,10527,6912,0.00,"2,985.00",Obour,10,1/10/2025,1130000099,0182032_Sales_Invoic,EGP,"46,476.45","46,476.45",No,"46,476.45","46,476.45", ’œÌ— «·„’‰⁄ œ«Œ·Ï,,,No,No,,,,0.00,,0.00,0.00,0.00,447.75,522.38,‰Â«∆Ì,"{""submissionId"":""KAE00V3DJ46GHD1FQG8QNBEG10"",""acceptedDocuments"":[{""uuid"":""S40J8M0G7EYHBVEQRG8QNBEG10"",""longId"":""AVGQQ8HX65FGY1Q2RG8QNBEG10TWmME11664691708"",""internalId"":""1130000099"",""hashKey"":""5dhT54f+UEJpCLttaH+pdyv13V8aBg2+9gLVAUyYu54=""}],""rejectedDocuments"":[]}",1/10/2025 11:15
0200002,00203718_055,,,1815,830.21,416.00,Obour,10,1/10/2025,1110004276,0182136_Sales_Invoic,EGP,"6,760.26","6,760.26",No,"5,930.05","5,930.05",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,71.31,81.12,‰Â«∆Ì,"{""submissionId"":""804QP0W46WVRDRJFRC2SNBEG10"",""acceptedDocuments"":[{""uuid"":""H5HHCV0RFH3V1KEMRC2SNBEG10"",""longId"":""M9HJ2RJRRBFDZRJTSC2SNBEG10YbF7B81664691767"",""internalId"":""1110004276"",""hashKey"":""iaTFjAPhNe/kQ4vErrQ9WfwX5+jQ9t2NwXjLVds6Xfs=""}],""rejectedDocuments"":[]}",1/10/2025 15:07
0200002,00200848_055,,,1815,"3,437.09","1,777.00",Obour,10,1/10/2025,1110004281,0182225_Sales_Invoic,EGP,"27,987.77","27,987.77",No,"24,550.68","24,550.68",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,319.86,364.29,‰Â«∆Ì,"{""submissionId"":""J3YH5H0J7CKXX0GNZ5EQNBEG10"",""acceptedDocuments"":[{""uuid"":""6RKMP0JKQCSF798DZ5EQNBEG10"",""longId"":""DEWS12HYRHM9HGRGZ5EQNBEG10MFwvac1664691714"",""internalId"":""1110004281"",""hashKey"":""kdS8CTAOKtr3VKvqXlLcRm94XvVYv3lyACSmRoOZNMc=""}],""rejectedDocuments"":[]}",1/10/2025 17:18
0200067,00197273_055,,,1815,"1,667.94",633.00,Obour,10,1/10/2025,1110004271,0182102_Sales_Invoic,EGP,"13,581.82","13,581.82",No,"11,913.88","11,913.88",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,90.87,104.75,‰Â«∆Ì,"{""submissionId"":""3DYQJZ7G0ZFHG65Y53BRNBEG10"",""acceptedDocuments"":[{""uuid"":""HJPKC41PEZ6XTP3063BRNBEG10"",""longId"":""VBS1SST0RYMQ92JR63BRNBEG10yN7TeO1664691743"",""internalId"":""1110004271"",""hashKey"":""P+ZKN+EIvA7dEi1TnO8SOvlL1775JrRNCLncYpw2Ph0=""}],""rejectedDocuments"":[]}",1/10/2025 13:32
0200087,00206395_055,,,2443,"2,734.44","1,419.00",Obour,10,1/10/2025,1120009228,0182151_Sales_Invoic,EGP,"22,266.14","22,266.14",No,"19,531.70","19,531.70",ﬁ”Ì„Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,202.43,236.35,‰Â«∆Ì,"{""submissionId"":""JJ4ATSKNC4WBVEG50XVQNBEG10"",""acceptedDocuments"":[{""uuid"":""3YHBF0ZJPG20R0241XVQNBEG10"",""longId"":""551AARK9H2AMKBZZ1XVQNBEG10hnjyLc1664691728"",""internalId"":""1120009228"",""hashKey"":""YIOASkqSFTtFVzq85D59zuhqllD7swF3ETCbcBGERo8=""}],""rejectedDocuments"":[]}",1/10/2025 15:37
0200145,00206148_055,,,,293.02,143.00,Obour,10,1/10/2025,1120009258,0182233_Sales_Invoic,EGP,"2,385.99","2,385.99",No,"2,092.97","2,092.97",ﬁ”Ì„Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,21.22,24.77,‰Â«∆Ì,"{""submissionId"":""VKSDJWCVSVW17ZT2PDZSNBEG10"",""acceptedDocuments"":[{""uuid"":""38YJ7XQQ8YDBEGC3PDZSNBEG10"",""longId"":""GRSSMA24VQ1ZDHWMPDZSNBEG10Q7YERM1664691797"",""internalId"":""1120009258"",""hashKey"":""wDXne1LQFfXM2h1iozhpWFWlS6uM3wj9R5QKVS35uUk=""}],""rejectedDocuments"":[]}",1/10/2025 17:27
0200199,00201524_055,,,2443,399.68,139.00,Obour,10,1/10/2025,1110004273,0182120_Sales_Invoic,EGP,"3,254.53","3,254.53",No,"2,854.85","2,854.85",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,26.09,29.56,‰Â«∆Ì,"{""submissionId"":""W866GB691FT7V5QTJ8TSNBEG10"",""acceptedDocuments"":[{""uuid"":""MAADQ84NAR8WC5RKJ8TSNBEG10"",""longId"":""MD7RFS7N832B8ZBEK8TSNBEG104l6GPY1664691792"",""internalId"":""1110004273"",""hashKey"":""lpoiZMS4GbMlEjdvCrf6MAEbMP6SKyq38Su7hoyvGoA=""}],""rejectedDocuments"":[]}",1/10/2025 14:32
0200211,00206462_055,,,2443,26.16,12.00,Obour,10,1/10/2025,1110004279,0182167_Sales_Invoic,EGP,213.00,213.00,No,186.84,186.84,›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,1.80,2.10,‰Â«∆Ì,"{""submissionId"":""JHZPV2427XDJ71KR3MSVNBEG10"",""acceptedDocuments"":[{""uuid"":""PVYWD8QSM2EMP8TC3MSVNBEG10"",""longId"":""RSEXM8DV9JTZBH9D3MSVNBEG1016S80x1664691857"",""internalId"":""1110004279"",""hashKey"":""GuIt55Z9WEJFIyKbzCN+wuu7jhRmoV0ZTCz9NnjKFK8=""}],""rejectedDocuments"":[]}",1/10/2025 15:42
0200235,00206442_055,,,2443,117.71,54.00,Obour,10,1/10/2025,1120009240,0182171_Sales_Invoic,EGP,958.49,958.49,No,840.78,840.78,ﬁ”Ì„Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,8.55,9.88,‰Â«∆Ì,"{""submissionId"":""4AC5TS145FXYXR0DG6RTNBEG10"",""acceptedDocuments"":[{""uuid"":""ZFC7KFVVKCH0R5M3G6RTNBEG10"",""longId"":""9B4ZTRJ6Q8BKA269H6RTNBEG10PFJ34y1664691822"",""internalId"":""1120009240"",""hashKey"":""3xImtEYiDhM+9gynb40Dg0kixK4F6eU7PiGVkvetSH4=""}],""rejectedDocuments"":[]}",1/10/2025 15:44
0200265,00206550_055,,,5486,235.42,108.00,Obour,10,1/10/2025,1110004278,0182161_Sales_Invoic,EGP,"1,916.98","1,916.98",No,"1,681.56","1,681.56",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,16.20,18.56,‰Â«∆Ì,"{""submissionId"":""AE10CG2QR70B692E3Z5TNBEG10"",""acceptedDocuments"":[{""uuid"":""Z2V5A28561TT6FVK3Z5TNBEG10"",""longId"":""M0G2SETG7NQET4PC3Z5TNBEG10gEubPs1664691804"",""internalId"":""1110004278"",""hashKey"":""NboJNKh9LaFR8HjGMKXb38vMcw1ptdybvD3uUI5eBvU=""}],""rejectedDocuments"":[]}",1/10/2025 15:40
0200359,00206592_055,,,2443,199.56,100.00,Obour,10,1/10/2025,1120009234,0182160_Sales_Invoic,EGP,"1,624.96","1,624.96",No,"1,425.40","1,425.40",ﬁ”Ì„Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,15.00,17.50,‰Â«∆Ì,"{""submissionId"":""SZWWF6HTH5K8MQD95XETNBEG10"",""acceptedDocuments"":[{""uuid"":""JKR4KFN32YK2WZYM6XETNBEG10"",""longId"":""58MT6WP4EVSRM3EB6XETNBEG10TtkQjB1664691813"",""internalId"":""1120009234"",""hashKey"":""5nMcLxyLq+rw/+s7zOvGC1U0WmTy8UUrRdnLJZdrZVI=""}],""rejectedDocuments"":[]}",1/10/2025 15:40
0200391,00206476_055,,,2443,864.56,146.00,Obour,10,1/10/2025,1120009229,0182153_Sales_Invoic,EGP,"7,040.00","7,040.00",No,"6,175.44","6,175.44",ﬁ”Ì„Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,91.60,99.76,‰Â«∆Ì,"{""submissionId"":""ENXH472NSRBZPYV3WJZRNBEG10"",""acceptedDocuments"":[{""uuid"":""DDJKWHWK7T0KQA49WJZRNBEG10"",""longId"":""A1MJYB40QEKQ34W5WJZRNBEG10o0CYFZ1664691764"",""internalId"":""1120009229"",""hashKey"":""p/HF3nzJOyyx81iszzgXqhu5pWEEogLd+IQh5pL857s=""}],""rejectedDocuments"":[]}",1/10/2025 15:37
0200527,00206506_055,,,6746,915.52,420.00,Obour,10,1/10/2025,1110004272,0182115_Sales_Invoic,EGP,"7,454.92","7,454.92",No,"6,539.40","6,539.40",›« Ê—Â «·„’‰⁄,,,No,No,,,,0.00,14%,0.00,0.00,0.00,63.00,73.14,‰Â«∆Ì,"{""submissionId"":""KPP0EH3GM2T7WH0M46WRNBEG10"",""acceptedDocuments"":[{""uuid"":""N7CQZRHGEZYTCVR456WRNBEG10"",""longId"":""3AQ209GNR8YZYX0956WRNBEG107vc9mh1664691761"",""internalId"":""1110004272"",""hashKey"":""QxJm9aTDD4/bgjsNTQPO4K4aZFjYjriPKX7N8pkWS6g=""}],""rejectedDocuments"":[]}",1/10/2025 14:12
